id	character	type	name	held	c_name	ob	lvl	c_arch	c_elem	c_pot	c_mod	customs	caps
wpn_cloud_sleek_saber	Cloud	event	Sleek Saber	TRUE	Armora Breach Surge A++	10	140	mag	nonelem	250			debuff type=pdefDown tier=2
wpn_cloud_umbral_blade	Cloud	event	Umbral Blade	TRUE	Scratch++	10	140	phys	nonelem	430	add=10000 when=selfHpGe50		
wpn_cloud_radblade	Cloud	event	Radblade	TRUE	Watera Impact++	10	140	phys	water	450			
wpn_cloud_erdricks_sword	Cloud	crossover	Erdrick's Sword	TRUE	Gigaslash++	10	140	phys	lightning	720	mult=1.5 when=singleTarget		debuff type=enfeeble; debuff type=matkDown tier=3 when=selfHpGe50
wpn_cloud_fusion_sword	Cloud	limited	Fusion Sword	TRUE	Torrential Shine++	10	140	phys	nonelem	1340			buff type=physWeaponBoost range=self value=40; buff type=magWeaponBoost range=self value=40; buff type=exploitWeakness range=self when=selfHpGe50 value=40
wpn_cloud_crimson_blitz	Cloud	crossover	Crimson Blitz	TRUE	Lightning Rush++	10	140	mag	nonelem	800		spade|diamond	debuff type=elemWeakness elem=ice value=30; buff type=elemDmgBonus elem=ice range=allAllies when=selfHpGe50 value=30; buff type=elemAtbConservation elem=ice range=allAllies when=custom:spade; buff type=elemInterruptUp elem=ice range=allAllies mode=passive when=custom:diamond
wpn_cloud_cruel_successor	Cloud	crossover	Cruel Successor	TRUE	Gyral Slash++	10	140	phys	earth	1340			buff type=elemWeaponBoost elem=earth range=allAllies value=35
wpn_cloud_noble_parasol	Cloud	limited	Noble Parasol	TRUE	Soaring Rose++	10	140	phys	nonelem	1340		spade|diamond	debuff type=singleTgtPhysDmgRcvdUp; debuff type=singleTgtMagDmgRcvdUp; buff type=haste range=allAllies when=firstUse; buff type=enliven range=allAllies when=custom:spade; buff type=quintInterrupt range=allAllies mode=passive when=custom:diamond
wpn_barret_sharkslayer	Barret	gacha	Sharkslayer	TRUE	Dorsal Fin Shot++	10	140	phys	nonelem	420			debuff type=elemResistDown elem=fire tier=3; debuff type=elemResistDown elem=water tier=3 when=selfHpGe50
wpn_barret_heavy_hauser	Barret	gacha	Heavy Hauser	TRUE	Pyroball++	10	140	phys	nonelem	940			
wpn_barret_heavy_vulcan	Barret	gacha	Heavy Vulcan	TRUE	Stalwart Manaward++	10	140						buff type=mdefUp tier=3 range=self
wpn_barret_assault_gun	Barret	gacha	Assault Gun	TRUE	Agitation++	10	140						buff type=pdefUp tier=3 range=allAllies
wpn_barret_enemy_launcher	Barret	gacha	Enemy Launcher	TRUE	Chain Bomber++	10	140	phys	nonelem	650			
wpn_barret_w_machine	Barret	gacha	W Machine	TRUE	Quick Burst++	10	140	phys	nonelem	510			debuff type=pdefDown tier=3
wpn_barret_solid_bazooka	Barret	gacha	Solid Bazooka	TRUE	Doom Impact++	10	140	phys	nonelem	510			debuff type=matkDown tier=3
wpn_barret_electrocannon	Barret	gacha	Electrocannon	TRUE	Energization++	10	140	mag	lightning	540			debuff type=patkDown tier=3 range=allEnemies; debuff type=matkDown tier=2 range=allEnemies when=selfHpGe50
wpn_barret_max_ray	Barret	gacha	Max Ray	TRUE	Energy Laser++	10	140	mag	nonelem	750		diamond	buff type=physResistUp range=self mode=passive when=custom:diamond
wpn_barret_flame_projector	Barret	gacha	Flame Projector	TRUE	Firaga A++	10	140	mag	fire	520			
wpn_barret_gatling_gun	Barret	gacha	Gatling Gun	TRUE	Blitz Beat++	10	140	phys	nonelem	750			
wpn_barret_escutcheon_cannon	Barret	gacha	Escutcheon Cannon	TRUE	Zone of Protection++	10	140	mag	heal	7			buff type=mdefUp tier=3 range=allAllies; buff type=matkUp tier=3 range=allAllies when=selfHpGe70; heal range=allAllies
wpn_barret_microlaser	Barret	gacha	Microlaser	TRUE	Stalwart Faith++	10	140	mag	heal	13			buff type=matkUp tier=3 range=self; buff type=regen range=self; heal range=singleAlly; set type=allCure
wpn_barret_sunrise_cannon	Barret	gacha	Sunrise Cannon	TRUE	Sunrise Barrage++	10	140	phys	nonelem	780			buff type=elemResistUp elem=fire tier=3 range=allAllies; buff type=elemResistUp elem=lightning tier=3 range=allAllies; buff type=pdefUp tier=3 range=allAllies when=selfHpGe70
wpn_barret_rocket_punch	Barret	guild	Rocket Punch	TRUE	Jet Fists++	10	140	phys	nonelem	500		diamond	buff type=pdefBoost range=self mode=passive when=custom:diamond; buff type=elemMastery elem=wind range=allAllies mode=passive when=custom:diamond
wpn_barret_shiva_cannon	Barret	event	Shiva Cannon	TRUE	Blizzara Surge++	10	140	mag	ice	450			
wpn_barret_lefko_kypseli	Barret	event	Lefko Kypseli	TRUE	Solid Barrier++	10	140						buff type=pdefUp tier=3 range=self
wpn_barret_hell_house_cannon	Barret	event	Hell House Cannon	TRUE	Manara Breach Surge++	10	140	mag	nonelem	360			debuff type=mdefDown tier=2
wpn_barret_siege_cannon	Barret	event	Siege Cannon	TRUE	Watera Surge A++	10	140	mag	water	290			
wpn_barret_leviathan_buster	Barret	event	Leviathan Buster	TRUE	Watera Surge++	10	140	mag	water	450			
wpn_barret_rhad_cannon	Barret	event	Rhad Cannon	TRUE	Solid Bravery++	10	140	mag	heal	13			buff type=patkUp tier=2 range=self; buff type=regen range=self; heal range=singleAlly
wpn_barret_fafnir_rifle	Barret	crossover	Fafnir Rifle	TRUE	Dragon's Roar++	10	140	phys	nonelem	540			buff type=provoke range=self; buff type=veil range=self; buff type=pdefUp tier=3 range=allAllies when=selfHpGe70
wpn_barret_teachers_paper_fan	Barret	limited	Teacher's Paper Fan	TRUE	Winds of Discipline++	10	140	phys	wind	500		spade|diamond	debuff type=elemResistDown elem=wind tier=3 range=allEnemies when=selfHpGe50; buff type=veil range=self; buff type=elemDmgUp elem=wind tier=3 range=allAllies when=custom:spade; buff type=physResistUp range=self mode=passive when=custom:diamond
wpn_barret_hook_launcher	Barret	event	Hook Launcher	TRUE	Thundara Surge A++	10	140	mag	lightning	290			
wpn_barret_quad_gatling_gun	Barret	event	Quad Gatling Gun	TRUE	Armora Breach Surge++	10	140	mag	nonelem	360			debuff type=pdefDown tier=2
wpn_tifa_lifeguard_wraps	Tifa	gacha	Lifeguard Wraps	TRUE	Healing Waves++	10	140	mag	heal	54			heal range=allAllies
wpn_tifa_crystal_gloves	Tifa	gacha	Crystal Gloves	TRUE	Thundaga A++	10	140	mag	lightning	500			
wpn_tifa_sonic_striker	Tifa	gacha	Sonic Striker	TRUE	Divekick++	10	140	phys	nonelem	990			
wpn_tifa_holy_flame_gloves	Tifa	gacha	Holy Flame Gloves	TRUE	Freezing Blow++	10	140	phys	ice	800			
wpn_tifa_kaiser_knuckles	Tifa	gacha	Kaiser Knuckles	TRUE	Chi Trap++	10	140	mag	nonelem	480			debuff type=mdefDown tier=3
wpn_tifa_grand_gloves	Tifa	gacha	Grand Gloves	TRUE	Vigor++	10	140	phys	heal	130			buff type=removePoison range=self; buff type=removeSilence range=self; heal range=self
wpn_tifa_bunny_gloves	Tifa	gacha	Bunny Gloves	TRUE	Aqua Splash++	10	140	mag	water	850			buff type=matkUp tier=3 range=self when=selfHpGe50
wpn_tifa_tiger_fangs	Tifa	gacha	Tiger Fangs	TRUE	Uppershot++	10	140	phys	nonelem	540			debuff type=matkDown tier=3
wpn_tifa_motor_drive	Tifa	gacha	Motor Drive	TRUE	Sonic Spiral++	10	140	phys	wind	790			
wpn_tifa_shell_knuckles	Tifa	gacha	Shell Knuckles	TRUE	Spinning Fervor++	10	140	mag	fire	940	mult=1.2 when=selfHpGe70		
wpn_tifa_feathered_gloves	Tifa	gacha	Feathered Gloves	TRUE	Featherstrike++	10	140	phys	nonelem	420		spade|diamond	debuff type=mdefDown tier=2; buff type=elemDmgUp elem=water tier=3 range=self when=selfHpGe50; buff type=hpGain range=allAllies when=custom:spade&firstUse; buff type=elemInterruptUp elem=water range=allAllies mode=passive when=custom:diamond
wpn_tifa_powersoul	Tifa	gacha	Powersoul	TRUE	Savage Blast++	10	140	mag	nonelem	900			
wpn_tifa_leather_gloves	Tifa	gacha	Leather Gloves	TRUE	Omnistrike++	10	140	phys	nonelem	540			debuff type=patkDown tier=3
wpn_tifa_shining_gloves	Tifa	gacha	Shining Gloves	TRUE	Hydrospike++	10	140	phys	water	1120		spade|diamond	debuff type=patkDown tier=3; debuff type=matkDown tier=3 when=selfHpGe50; debuff type=enfeeble when=custom:spade; buff type=elemInterruptUp elem=water range=allAllies mode=passive when=custom:diamond
wpn_tifa_work_gloves	Tifa	guild	Work Gloves	TRUE	Wall of Will++	10	140	mag	heal	13		diamond	buff type=pdefUp tier=3 range=self; buff type=patkUp tier=3 range=self; gauge type=atb range=self mode=passive when=custom:diamond; buff type=elemMastery elem=fire range=allAllies mode=passive when=custom:diamond; heal range=self
wpn_tifa_amarants_claws	Tifa	crossover	Amarant's Claws	TRUE	No Mercy++	10	140	phys	nonelem	720			buff type=patkUp tier=3 range=self
wpn_tifa_bahamut_knuckles	Tifa	event	Bahamut Knuckles	TRUE	Ruinra Surge++	10	140	mag	nonelem	450			
wpn_tifa_oven_mitts	Tifa	event	Oven Mitts	TRUE	Solid Bravery++	10	140	mag	heal	13			buff type=patkUp tier=2 range=self; buff type=regen range=self; heal range=singleAlly
wpn_tifa_guide_gloves	Tifa	crossover	Guide Gloves	TRUE	Zangan Fist++	10	140	phys	nonelem	1300		spade|diamond	debuff type=matkDown tier=3 when=custom:spade; debuff type=elemResistDown elem=fire tier=3 when=custom:spade&selfHpGe50; buff type=physInterruptUp range=allAllies mode=passive when=custom:diamond
wpn_tifa_turks_gloves	Tifa	event	Turks' Gloves	TRUE	Armora Breach Surge++	10	140	mag	nonelem	360			debuff type=pdefDown tier=2
wpn_tifa_kirin_gloves	Tifa	crossover	Kirin Gloves	TRUE	Spiral Levin Strike++	10	140	mag	lightning	940			buff type=matkUp tier=2 range=self when=selfHpGe50
wpn_tifa_steward_gloves	Tifa	event	Steward Gloves	TRUE	Debravera Surge++	10	140	mag	nonelem	360			debuff type=patkDown tier=2
wpn_tifa_bahamut_fangs	Tifa	limited	Bahamut Fangs	TRUE	Dark Strike++	10	140	mag	nonelem	1100			buff type=haste range=self when=firstUse; buff type=matkUp tier=3 range=allAllies
wpn_tifa_black_cats_paws	Tifa	event	Black Cat's Paws	TRUE	Thundara Surge A++	10	140	mag	lightning	290			
wpn_tifa_sabins_claws	Tifa	crossover	Sabin's Claws	TRUE	Aura Cannon++	10	140	phys	nonelem	800	add=40000 when=selfHpGe50		buff type=patkUp tier=3 range=self; buff type=matkUp tier=3 range=self
wpn_tifa_blue_daffodil_gloves	Tifa	limited	Blue Daffodil Gloves	TRUE	Blue Florescent Flurry++	10	140	phys	nonelem	1100			buff type=exploitWeakness range=self value=40
wpn_tifa_jarngreipr	Tifa	event	Járngreipr	TRUE	Armora Breach Surge A++	10	140	mag	nonelem	250			debuff type=pdefDown tier=2 range=allEnemies
wpn_tifa_gauntlets_of_the_worthy	Tifa	limited	Gauntlets of the Worthy	TRUE	Geo Combo++	10	140	phys	earth	1120			buff type=elemDmgUp elem=earth tier=3 range=allAllies when=selfHpGe50; gauge type=atb range=self when=firstUse
wpn_tifa_odin_gloves	Tifa	event	Odin Gloves	TRUE	Aerora Surge++	10	140	mag	wind	450			
wpn_tifa_class_presidents_bracelet	Tifa	limited	Class President's Bracelet	TRUE	Student Council Windstrike++	10	140	phys	wind	1060			buff type=patkUp tier=3 range=allAllies when=selfHpGe50
wpn_tifa_penance_gloves	Tifa	event	Penance Gloves	TRUE	Fira Surge A++	10	140	mag	fire	290			
wpn_tifa_striped_moogle_gloves	Tifa	event	Striped Moogle Gloves	TRUE	Defaithra Surge++	10	140	mag	nonelem	360			debuff type=matkDown tier=2
wpn_tifa_leather_combat_gloves	Tifa	limited	Leather Combat Gloves	TRUE	Detonating Blow++	10	140	mag	nonelem	1340			debuff type=enfeeble range=allEnemies when=selfHpGe50; amp target=buff tier=4 range=allAllies
wpn_tifa_lightnings_gloves	Tifa	crossover	Lightning's Gloves	TRUE	Army of Strikes++	10	140	mag	ice	1340		spade|diamond	debuff type=elemResistDown elem=ice tier=3; buff type=exploitWeakness range=self when=selfHpGe70 value=30; debuff type=patkDown tier=3 when=custom:spade; buff type=elemInterruptUp elem=ice range=allAllies mode=passive when=custom:diamond
wpn_tifa_demons_impetus	Tifa	crossover	Demon's Impetus	TRUE	Spinning Wheel Flurry++	10	140	phys	nonelem	1340			buff type=physDmgBonus range=self value=40; buff type=patkUp tier=3 range=allAllies when=selfHpGe50
wpn_tifa_festive_gloves	Tifa	limited	Festive Gloves	TRUE	Planet's Flaming Fist++	10	140	phys	fire	1340		heart|diamond	debuff type=singleTgtPhysDmgRcvdUp value=50; gauge type=gearUses range=self when=firstUse; dmg arch=phys elem=fire mod=1680 when=custom:heart; buff type=elemInterruptUp elem=fire range=allAllies mode=passive when=custom:diamond
wpn_tifa_elegant_gloves	Tifa	limited	Elegant Gloves	TRUE	Spiral Tremor++	10	140	mag	earth	1340		heart|diamond	buff type=elemWeaponBoost elem=earth range=allAllies value=35; buff type=ampElemAbilities elem=earth range=self when=firstUse value=50; dmg arch=mag elem=earth mod=1680 when=custom:heart; buff type=elemInterruptUp elem=earth range=allAllies mode=passive when=custom:diamond
wpn_aerith_sun_umbrella	Aerith	gacha	Sun Umbrella	TRUE	Nightbloom++	10	140	mag	nonelem	540			debuff type=pdefDown tier=2; debuff type=mdefDown tier=2
wpn_aerith_snowflake	Aerith	gacha	Snowflake	TRUE	Snowspell++	10	140	mag	ice	540			debuff type=mdefDown tier=3; set type=allCure
wpn_aerith_full_metal_staff	Aerith	gacha	Full Metal Staff	TRUE	Heavenly Spike++	10	140	phys	nonelem	340			debuff type=patkDown tier=2 range=allEnemies
wpn_aerith_mythril_rod	Aerith	gacha	Mythril Rod	TRUE	Saving Grace++	10	140	mag	heal	9			buff type=pdefUp tier=2 range=allAllies; buff type=mdefUp tier=2 range=allAllies; heal range=allAllies
wpn_aerith_egg_staff	Aerith	gacha	Egg Staff	TRUE	Helical Flame++	10	140	mag	fire	630	mult=1.3 when=singleTarget		set type=allCure
wpn_aerith_prism_rod	Aerith	gacha	Prism Rod	TRUE	Raging Sphere++	10	140	mag	wind	800			
wpn_aerith_silver_staff	Aerith	gacha	Silver Staff	TRUE	Blizzaga A++	10	140	mag	ice	540			
wpn_aerith_fairy_tale	Aerith	gacha	Fairy Tale	TRUE	Curaga A++	10	140	mag	heal	74			heal range=allAllies
wpn_aerith_wizer_staff	Aerith	gacha	Wizer Staff	TRUE	Quaga A++	10	140	mag	earth	540			
wpn_aerith_striking_staff	Aerith	gacha	Striking Staff	TRUE	Tempest Force++	10	140	phys	nonelem	900		spade|diamond	debuff type=elemDmgDown elem=lightning tier=3 when=custom:spade; buff type=patkUp tier=3 range=allAllies when=custom:spade; buff type=ampHealing range=self mode=passive when=custom:diamond
wpn_aerith_floral_wand	Aerith	gacha	Floral Wand	TRUE	Floral Flare++	10	140	phys	nonelem	420			debuff type=pdefDown tier=2; debuff type=elemResistDown elem=wind tier=3 when=selfHpGe50; set type=allCure
wpn_aerith_guard_stick	Aerith	gacha	Guard Stick	TRUE	Stalwart Manaward++	10	140	mag	heal	15			buff type=mdefUp tier=3; heal range=singleAlly
wpn_aerith_wizard_staff	Aerith	gacha	Wizard Staff	TRUE	Thundaga A++	10	140	mag	lightning	540			
wpn_aerith_citric_wand	Aerith	gacha	Citric Wand	TRUE	Fruitful Energy++	10	140	mag	heal	9			buff type=elemDmgUp elem=ice tier=3; buff type=matkUp tier=3 when=selfHpGe50; heal range=singleAlly
wpn_aerith_mermaid_rod	Aerith	gacha	Mermaid Rod	TRUE	Pink Aura++	10	140	mag	heal	7		spade|diamond	buff type=patkUp tier=3 range=allAllies; buff type=elemDmgUp elem=lightning tier=3 range=allAllies; gauge type=limit range=allAllies when=custom:spade; buff type=elemInterruptUp elem=lightning range=allAllies mode=passive when=custom:diamond; heal range=allAllies
wpn_aerith_umbrella	Aerith	guild	Umbrella	TRUE	Cleansing Rain++	10	140	mag	heal	108		diamond	buff type=removePatkDown; buff type=removeMatkDown; buff type=elemMastery elem=water range=allAllies mode=passive when=custom:diamond; heal range=singleAlly; set type=allCure
wpn_aerith_ramuhs_staff	Aerith	event	Ramuh's Staff	TRUE	Thundara Surge++	10	140	mag	lightning	480			
wpn_aerith_chocobo_staff	Aerith	event	Chocobo Staff	TRUE	Solid Manaward++	10	140		heal	5			buff type=mdefUp tier=3; heal range=singleAlly
wpn_aerith_garnets_rod	Aerith	crossover	Garnet's Rod	TRUE	Healing Pulse++	10	140		heal	5			buff type=matkUp tier=3; buff type=regen; heal range=singleAlly
wpn_aerith_dawns_prayers	Aerith	event	Dawn's Prayers	TRUE	Armora Breach Surge++	10	140	mag	nonelem	360			debuff type=pdefDown tier=2
wpn_aerith_kamura_wand	Aerith	crossover	Kamura Wand	TRUE	Spiritual Harmony++	10	140		heal	5			buff type=patkUp tier=3 range=allAllies; buff type=mdefUp tier=3 range=allAllies when=selfHpGe70; heal range=allAllies; set type=allCure
wpn_aerith_radrod	Aerith	event	Radrod	TRUE	Watera Surge A++	10	140	mag	water	290			
wpn_aerith_hell_house_rod	Aerith	event	Hell House Rod	TRUE	Blizzara Surge A++	10	140	mag	ice	290			
wpn_aerith_bahamut_rod	Aerith	limited	Bahamut Rod	TRUE	Blessed Aura++	10	140		heal	5			buff type=pdefUp tier=2 range=allAllies; buff type=atbGift range=allyExcludingSelf when=selfHpLe90; heal range=allAllies; set type=allEsuna
wpn_aerith_terras_rod	Aerith	crossover	Terra's Rod	TRUE	Riot Blade++	10	140	mag	nonelem	750			debuff type=elemResistDown elem=fire tier=3 range=allEnemies; debuff type=elemResistDown elem=ice tier=3 range=allEnemies; debuff type=elemResistDown elem=lightning tier=3 range=allEnemies; set type=allCure
wpn_aerith_titan_rod	Aerith	event	Titan Rod	TRUE	Quakera Surge++	10	140	mag	earth	450			
wpn_aerith_crimson_staff	Aerith	limited	Crimson Staff	TRUE	Crimson Florescence++	10	140	mag	nonelem	750			buff type=matkUp tier=3 range=allAllies; debuff type=mdefDown tier=3 range=allEnemies when=selfHpGe70
wpn_aerith_gambanteinn	Aerith	crossover	Gambanteinn	TRUE	Paeon++	10	140		heal	5			buff type=patkUp tier=3 range=allAllies; buff type=atbGift range=allyExcludingSelf when=selfHpLe90; heal range=allAllies
wpn_aerith_noblesse_rod	Aerith	event	Noblesse Rod	TRUE	Debravera Surge++	10	140	mag	nonelem	360			debuff type=patkDown tier=2
wpn_aerith_team_leaders_bamboo_sword	Aerith	limited	Team Leader's Bamboo Sword	TRUE	Water Orb Blast++	10	140	mag	water	530	mult=1.4 when=selfHasBuff	spade|diamond	buff type=elemDmgUp elem=water tier=3 range=allAllies when=selfHpGe50; buff type=haste range=allAllies when=custom:spade&firstUse
wpn_aerith_sea_dragon_staff	Aerith	event	Sea Dragon Staff	TRUE	Dewatera Surge++	10	140	mag	nonelem	360			debuff type=elemResistDown elem=water tier=2
wpn_aerith_supreme_sages_staff	Aerith	crossover	Supreme Sage's Staff	TRUE	Magic Burst++	10	140	mag	nonelem	890	add=80000		buff type=exploitWeakness range=allAllies when=selfHpGe70; set type=allCure
wpn_aerith_magatsuchi_rod	Aerith	event	Magatsuchi Rod	TRUE	Defaithra Surge++	10	140	mag	nonelem	360			debuff type=matkDown tier=2
wpn_aerith_rousing_wizer_staff	Aerith	event	Rousing Wizer Staff	TRUE	Wizer Energy++	10	140	mag	heal	7			buff type=patkUp tier=3 range=allAllies; buff type=mdefUp tier=3 range=allAllies when=selfHpGe70; heal range=allAllies; set type=allCure
wpn_aerith_lightnings_rod	Aerith	crossover	Lightning's Rod	TRUE	Enhancing Rose++	10	140	mag	heal	7		spade|diamond	buff type=magDmgBonus range=allAllies value=30; buff type=pdefUp tier=3 range=allAllies when=selfHpGe70; gauge type=limit range=allAllies when=firstUse; gauge type=limit range=self when=custom:spade; buff type=magicInterruptUp range=allAllies mode=passive when=custom:diamond; heal range=allAllies; set type=allCure
wpn_aerith_staff_of_the_possessed	Aerith	crossover	Staff of the Possessed	TRUE	Ripping Twister++	10	140	phys	nonelem	920			buff type=elemWeaponBoost elem=water range=allAllies value=35; debuff type=elemResistDown elem=water tier=3 range=allEnemies when=selfHpGe70
wpn_aerith_festive_rod	Aerith	limited	Festive Rod	TRUE	Planet's Prayer++	10	140	mag	heal	59		spade|diamond	buff type=physDmgBonus range=allAllies value=30; buff type=magDmgBonus range=allAllies value=30; gauge type=gearUses range=self when=custom:spade&firstUse; heal range=allAllies
wpn_aerith_gorgeous_staff	Aerith	limited	Gorgeous Staff	TRUE	Luminous Bloom++	10	140	mag	nonelem	920		spade|diamond	buff type=elemDmgBonus elem=fire range=allAllies value=30; buff type=mdefUp tier=3 range=allAllies when=selfHpGe70; gauge type=gearUses range=self when=firstUse; buff type=elemWeaponBoost elem=fire range=allAllies when=custom:spade; buff type=elemInterruptUp elem=fire range=allAllies mode=passive when=custom:diamond
wpn_red_xiii_sleek_collar	Red XIII	gacha	Sleek Collar	TRUE	Manaward A++	10	140	mag	heal	6			buff type=mdefUp tier=3 range=allAllies; heal range=allAllies
wpn_red_xiii_gold_collar	Red XIII	gacha	Gold Collar	TRUE	Eternal Storm++	10	140	mag	nonelem	350			debuff type=mdefDown tier=2 range=allEnemies
wpn_red_xiii_platinum_collar	Red XIII	gacha	Platinum Collar	TRUE	Therapeutic Touch++	10	140	mag	heal	11			buff type=regen range=allAllies; heal range=allAllies
wpn_red_xiii_canyon_collar	Red XIII	gacha	Canyon Collar	TRUE	Canyon Gale++	10	140	mag	wind	500			debuff type=mdefDown tier=3 range=allEnemies when=selfHpGe50
wpn_red_xiii_seaside_collar	Red XIII	gacha	Seaside Collar	TRUE	Power Fang++	10	140	phys	nonelem	510			debuff type=elemResistDown elem=lightning tier=3; buff type=regen range=self; set type=allCure
wpn_red_xiii_junk_collar	Red XIII	gacha	Junk Collar	TRUE	Frenzied Fang++	10	140	phys	nonelem	510			debuff type=matkDown tier=3
wpn_red_xiii_ivy_collar	Red XIII	gacha	Ivy Collar	TRUE	Growing Ivy++	10	140	phys	nonelem	420			debuff type=elemResistDown elem=fire tier=3; debuff type=elemResistDown elem=ice tier=3
wpn_red_xiii_noble_collar	Red XIII	gacha	Noble Collar	TRUE	Waterga A++	10	140	mag	water	520			
wpn_red_xiii_rubber_collar	Red XIII	gacha	Rubber Collar	TRUE	Mystic Flow++	10	140	mag	heal	113			heal range=singleAlly
wpn_red_xiii_pilots_collar	Red XIII	gacha	Pilot's Collar	TRUE	Healing Howl++	10	140	mag	heal	59			buff type=mdefUp tier=3 range=allAllies; heal range=allAllies
wpn_red_xiii_silver_collar	Red XIII	gacha	Silver Collar	TRUE	Rolling Claw++	10	140	phys	nonelem	320			debuff type=elemResistDown elem=wind tier=3; debuff type=elemResistDown elem=water tier=3 when=selfHpGe50; set type=allCure
wpn_red_xiii_leather_collar	Red XIII	gacha	Leather Collar	TRUE	Sonic Fangs++	10	140	phys	nonelem	940			
